"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"IDA blend","IDB","Cereal production (metric tons)","AG.PRD.CREL.MT","","18045171","18779568","18933408","19182984","19951194","17052755","20165748","22506261","25484093","25408987","24801404","23366728","25548997","28813190","27500753","27921480","28249500","26662277","27634144","30099941","32772642","32779473","32854986","31992406","36883092","43263399","39632652","43255570","45767756","44987425","45951035.36","48810393.47","52532334.24","52665942.99","56569145.06","57236304.89","57192007.42","60382623.19","60838437.43","61967033.89","58166871.86","59920280.72","64514615.92","68564058.17","73348562.97","77278812.6","77763219.39","78707295.32","73701500.26","76002116.07","75493462.5","74816629.99","76567311.77","85160493.71","84024365.26","89496996.01","90803887.18","87077320.98","90378405.46","94136498.16","99493339.14","",
"Indonesia","IDN","Cereal production (metric tons)","AG.PRD.CREL.MT","","14367100","16246900","13952800","16074600","15339500","17367400","15591101","20328850","20313080","22156220","22796490","21647980","25179300","25483788","25242090","25873084","26489786","29800800","29888191","33642843","37283478","36818521","40389883","43424273","43362447","45647142","45233872","48328093","50918096","51912780","50944146","56235467","54640825","53510380","57990042","60408927","58147907","59406188","60070424","61575000","59808000","61074973","63024042","65313711","66674990","66064399","67878527","73984922","76643740","77610636","75902250","79092022","78606853","78067426","80643435","77609413","84176015","89454472","74254033","79336202.24","74425294","",
"IDA only","IDX","Cereal production (metric tons)","AG.PRD.CREL.MT","","55289830","56737088","60166083","61717655","60455067","57159263","64702629","63521470","67112731","65949997","63873991","63031780","64858935","67559051","71553490","72735288","72976006","76167813","73453577","83977278","86245175","82841640","86679832","83124539","91131811","92274629","88923921","99842961","98446531","97743454","100923168.2","102897698.62","109927908.95","108573984","114854375.72","122232463.28","117268294.56","124696284.98","131942960.32","132570084.12","140397180.93","143707100.94","153514864.84","147868254.77","167515201.28","175698199.77","180712748.89","190040713.56","201767788.91","213737991.55","209202894.52","217410712.47","222678628.58","228992319.9","226926155.12","230690669.89","237627280.23","245617724.18","248322361.17","255675834.53","252506003.85","",
"Isle of Man","IMN","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Cereal production (metric tons)","AG.PRD.CREL.MT","","87376496","87257552","90373008","93706000","79699504","80137608","95453504","102443708","106291244","113909504","113238296","108615456","119648216","106793000","127807800","121625108","138062904","142964696","126470304","140490600","147583816","136101404","166781704","164477600","165682196","164955216","156114500","183867008","199413216","193919312","193101196","201468404","208626900","211941400","210012500","218750900","223232400","226877000","236205608","234931192","242963796","206636708","236592700","229845504","239997492","242785588","260485904","266835300","250783392","267838308","287860000","293290000","294909510","296099510","285933000","294520000","311418745","321556400","324960800","342108770","356345000","",
"Not classified","INX","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Cereal production (metric tons)","AG.PRD.CREL.MT","","1367919","1439216","1258816","1136399","1173711","1107600","1269300","1450800","1403200","1371000","1580400","1431400","1296500","1440900","1379700","1253000","1833000","1768000","1916000","2064800","2046800","2177700","1990700","2513800","2095800","1954800","2107800","2077800","1918800","1965820","1968048.39","2025770.8","1633158.66","1618110.58","1803329.58","2150592.05","1952836.76","1875440.01","2025967.25","2177490.65","2169040.7","1966954.95","2152352.89","2507508.33","1947926.55","2090355.84","2006462.35","2463992.68","2066174.9","2043780.93","2512186.79","2127500","2403000","2599817.27","2635748.65","2312985.31","2394645.57","1784900","2267990","1892640","2363950","",
"Iran, Islamic Rep.","IRN","Cereal production (metric tons)","AG.PRD.CREL.MT","","4303119","4402740","4101140","4299578","5642713","6588982","5833000","6594000","6310000","6448000","5692000","6787000","6901000","6931000","8445000","9182500","8211950","8474311","8693746","8582850","9289878","10221717","9321331","10051706","10727817","11898530","12193218","12116749","10786652","13683863","14450207.9","16029233.6","16786212.2","16692464.7","17191141","16102130.2","15787881.2","18984493.2","14197138.8","12877641.8","14943509.7","19873850.17","20947988.4","21987685.3","21914452.7","22469919.6","24077570.4","12210782.6","17952655.2","19597231.3","15018275.96","15777121.79","16427670.68","17551045","18255384.86","22419770.81","18113759.53","18650828.19","21998893.97","15627813.16","14836137.19","",
"Iraq","IRQ","Cereal production (metric tons)","AG.PRD.CREL.MT","","1847205","2332325","1432038","1629550","2006634","1858708","2051724","2899566","2473690","2112408","1588491","3901326","1603339","1960870","1372508","2109366","1444700","1780469","1480600","1891900","2035800","2065900","1821700","1100160","2932251","2280630","1728000","2590600","1496700","3454800","2672653","2959211","3239908","2830150","2540110","3004520","2215530","2431550","1604520","904480","1818903.07","4124870","3521487.33","3316916.71","3708150","3785500","3752471","2225411","2650113","4362383","4270151","4790950","6498524","7048606","3471115.91","4007685","3735255","2615277","6913550","8885242","5302192","",
"Iceland","ISL","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4637","7389","7400","3900","7900","7287","7490","",
"Israel","ISR","Cereal production (metric tons)","AG.PRD.CREL.MT","","171600","152700","139200","329400","288000","137100","304650","223150","196750","155050","246500","385650","301700","352700","311700","251450","263650","190900","151700","303400","260900","203700","437100","173400","240850","285850","411650","309050","318800","396564","277320","342715.06","297038.66","183954","309380","264166.62","187072.69","248700","123030","182870","241640","271105","305620","273337.55","307620.25","245105.56","283464.48","198842.75","257009.47","241055.51","273519.91","356387.62","336558.34","372420.26","321746.39","262284.33","173788.48","150689.74","184113.18","246807.47","268284.8","",
"Italy","ITA","Cereal production (metric tons)","AG.PRD.CREL.MT","","13933400","14433210","13324660","14007520","14531270","14377630","15165050","15047330","15848360","16153080","16341770","15616689","15746610","16640396","16921900","16495300","14409200","17662800","17621700","17995200","18457268","18337400","18081100","19927800","18028600","18697900","18399800","17400000","17132670","17410540","19219130","19890867","19771428","19186472","19679024","20899946","19916519","20731020","21067676","20660952","19933158","21248429","17864361","23283207","21423171","20206559","20350618","21613374","17705746","18502904","19521138.3","18594125.5","18214664","19396843.8","17694873.4","18219221","16251718","16548350","16363450","16945440","16568150","",
"Jamaica","JAM","Cereal production (metric tons)","AG.PRD.CREL.MT","","8433","8941","9530","7315","5995","6379","4384","3713","4587","5011","5584","4479","4140","10132","13846","13077","10553","10273","7309","6782","6374","4630","7040","9044","8153","7030","6226","3793","3431","2381","3466","4334","3564","4081","3899","4067","3150","2228","2164","1781","2116","1765","2057","1611","1929","1895","1738","1997","2509","2626","2967.7","3121","2996","2512","2365","2353.6","2540","2177.09","2059","2018","2122","",
"Jordan","JOR","Cereal production (metric tons)","AG.PRD.CREL.MT","","208006","152901","102164","400558","380963","126550","216113","115119","202093","59792","195138","246449","56478","285121","62974","80954","74829","69413","21721","172193","70217","72247","129200","62030","82711","41046","115268","127093","79576","129010","101779","144313","88891.5","74916","90546","72773","71590","65317","14460","38302","37200","100958","69009.52","38613","71630","47465","35515","28220","41152","58260","66582","69627","87914","81280","68941","69268","62088","84762","114194","133241","92521.45","",
"Japan","JPN","Cereal production (metric tons)","AG.PRD.CREL.MT","","20318660","20635150","19470310","19079380","18925506","18915600","21023600","20998210","19912510","17661810","15205810","16168610","16287820","16511820","17624830","15712220","17495960","16483170","15938870","13191708","13824230","14000333","14059961","16012384","15856023","15805100","14526600","13866800","14317700","14449107","13069924.88","14285806.7","10737390","15787203.37","14121766.07","13668044.47","13319770","11933530","12282680","12796066.71","12254842.67","12184519.33","10824201.51","11993783.7","12433769.16","11741858.54","12024848.13","12151091.21","11461384.89","11454614.23","11657491.61","12166480.7","12264625.46","12285001.04","12141378.23","11924734.91","11903650.57","11575321.24","11843135.57","11685535.79","11898830.87","",
"Kazakhstan","KAZ","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29649100","21530700","16399233.41","9476320","11210020","12358980","6380160","14248300","11539396","15865279","15926090","14738300","12337671","13750260","16472690","20082040","15530034","20763550","12115916","26825597.9","12788631.4","18157040.27","17110959.3","18585931.63","20410625","20129018","19989899.93","17503000.48","20185601.65","16566888.05","",
"Kenya","KEN","Cereal production (metric tons)","AG.PRD.CREL.MT","","1376218","1520717","1711045","1718408","1794258","1617546","2005760","2330767","2324274","2089966","2007843","2214950","2445860","2541882","2627749","3236349","3177352","2778901","2377734","2231089","2229399","2946815","2713320","1739552","2915624","3385292","2896914","3300425","3160756","2788475","2923992","2997899","2539301","3624079","3229877","2669157","2700368","2927285","2802247","2591351","3369648.3","3045518","3351497","3199022","3585080","3936250.35","3613833.84","2866110.72","2898883.86","4347437","4058581","4711585","4536942","4227112.63","4523082.62","3892022.42","3711200.84","4805992.21","4621356.41","4881355.14","3969251.22","",
"Kyrgyz Republic","KGZ","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1596100","1537600","1059790","911080","1325419","1610388","1607530","1617630","1550090","1794556","1712217","1633632","1708898","1621549","1504006","1417557","1440359.03","1858103","1510268.31","1504682.83","1357040.8","1728265","1355798.3","1753400.4","1763628.63","1720953.81","1783480.01","1823519.39","1901475.37","1376462.99","",
"Cambodia","KHM","Cereal production (metric tons)","AG.PRD.CREL.MT","","2557300","2190800","2805200","2963900","2639000","2511800","2606900","3405000","2620600","3951000","2853700","2006600","1122700","705000","1145000","1175000","1080000","1080000","608000","1818000","1575000","2000000","2082000","1308000","1854000","2144000","1853000","2541000","2726000","2588000","2460000","2281000","2428764","2268500","3502700","3468563","3457340","3558381","4136174","4183064","4284605","3971406","5025548","4426949","6233960","6641061","7250000","7787338","8509896","9018589","9496000","10241849","10317000","9874000","9735000","10615000","11268000","12124000","11780700","12148000","12330000","",
"Kiribati","KIR","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Cereal production (metric tons)","AG.PRD.CREL.MT","","6629757","5902917","6377585","7380506","7212458","8041079","7453095","7156833","8375894","8034292","7968165","7979340","8056924","8281408","9044456","9882637","9643628","10541876","10148227","6676479","8530055","8583504","8995642","9269310","8807552","8637576","8467053","9163507","8950058","8434015","7720465","7677307","6814911","7158465","6767246","7505223","7607782","7070638","7395754","7435175","7746435","6990361","6400167","7014673","6721823","6541077","6235335","6752447","6757669.49","6020702.01","5825775.77","5604303.9","5810450.68","5852499.19","5976258.87","5831045.8","5487987.7","5418615.89","5272890.2","4945349.62","5431955.51","",
"Kuwait","KWT","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","3","5","8","10","20","24","9","28","32","27","131","225","220","413","505","780","776","3109","3148","3415","3687","2472","1830","884.95","136.6","787","1235","1961","3417","3616","6148","6343","7996","9251","13633","21809","9630","10078","14576","23234","15747","13651","20303","35457","26862","33254","53636","9312","5257","6103","11217","31382","26691.37","17491.89","",
"Latin America & Caribbean (excluding high income)","LAC","Cereal production (metric tons)","AG.PRD.CREL.MT","","44237538","45075048","50031359","55996314","53901419","55440790","60486622","58134494","60859309","67282831","68501707","64493499","71415129","74169667","76241439","83041527","81618659","81524361","78991433","83699442","98728962","100674802","95208014","101114079","104214890","99056862","104909746","100860826","98583208","91580450","96747316.95","110879889.32","108621939.56","111474221.6","117892053.26","111733602.85","125615968.43","125101232.61","123478233.94","129518267.52","142652848.34","133258817.48","151175946.33","150028610.76","146739968.08","144222834.67","167998899.93","184357810.58","152710929.91","175295450.74","182571184.72","197808648.27","213115315.51","215813161.12","226759827.68","213614383.44","261209805.76","240351440.28","271376432.66","279914738.76","267487246.01","",
"Lao PDR","LAO","Cereal production (metric tons)","AG.PRD.CREL.MT","","557000","528000","535000","754000","763000","774000","833000","796000","921503","928231","837284","843330","910310","931914","938000","691325","727621","753380","898610","1081495","1187445","1127049","1132450","1355005","1428510","1490981","1242881","1054211","1447954","1558061","1292405","1561060","1298250","1632811","1468204","1491595","1738300","1784400","2198925","2318700","2446569","2540622","2518278","2732500","2940560","3113650","3398240","4077685","4279186","4091515","4161995","4614695","4628645","5414864.74","5618250","5701160","5232304","4566380","4328125","4203100","4920000","",
"Lebanon","LBN","Cereal production (metric tons)","AG.PRD.CREL.MT","","96500","106347","84700","89000","80905","95968","91301","64882","44228","54092","52414","76416","65638","92444","82700","55700","60760","56600","48600","30450","29575","30420","27200","25831","34450","46530","70482","73032","79361","77358","83213","88401","80905","79109","100385","93796","89657","102843","93000","122800","152950","140144","145835.93","165056.82","177240","189400","153370","177000","146600","111784.67","158638.17","188629.35","178658.66","176627.23","180116.43","181183.97","166851.49","163628.25","175548.84","133537.9","133529.55","",
"Liberia","LBR","Cereal production (metric tons)","AG.PRD.CREL.MT","","115000","120000","125000","130000","135000","141000","142000","152000","163000","190000","200000","210000","225000","248000","229000","245000","256000","244000","249000","243000","269000","284000","290000","298000","289000","288000","297700","297700","294090","180000","100000","110000","65000","50000","56200","94450","168400","209400","196300","183400","145000","110000","100000","110000","154800","164000","231800","295150","293000","296090","291000","297000","270000","266000","296000","335180","247495","257995","276400","279000","255600","",
"Libya","LBY","Cereal production (metric tons)","AG.PRD.CREL.MT","","104992","124400","128400","118200","155601","159615","174883","152963","205174","82458","50804","160131","274089","186860","270184","332909","110732","299221","213486","214831","247730","292800","417587","275134","234575","284850","275970","283231","321878","272536","257988.97","218124.02","180161.03","165154.92","146510.94","159800","206200","212700","212700","221780","217800","217100","216700","218465","233600","213470","213770","213200","215350","243539.07","275210","307526.56","305900","304363.03","254599.99","299287.67","209512.43","279466.7","219422.27","209467.13","209452.03","",
"St. Lucia","LCA","Cereal production (metric tons)","AG.PRD.CREL.MT","","50","50","30","18","20","30","30","25","25","21","25","30","31","35","35","35","35","35","35","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latin America & Caribbean","LCN","Cereal production (metric tons)","AG.PRD.CREL.MT","","47397095","48303727","53129887","59751971","57638446","59362843","64191784","62266099","64675807","71363842","72458035","67956173","74888690","78437212","80551648","86759325","86545411","85838020","84003832","88442972","103512975","105255823","99584208","106319887","109998151","105465865","111733285","107990814","105743090","98081777","103537242.95","117959324.27","115632542.78","118626268.63","125795157.73","119709414.69","133989702.27","133155818.96","130951762.37","137706027.52","151525775.84","141769699.59","160748698.76","160903117.81","157479440.76","155190971.67","178310681.08","195630676.98","164263116.48","187349365.31","194703094.33","210218397.42","225581102.65","227964635.07","237529706.73","224188353.34","271236951.91","249269893.77","281010593.2","289804026.25","278065328.59","",
"Least developed countries: UN classification","LDC","Cereal production (metric tons)","AG.PRD.CREL.MT","","52279281","52340878","56028069","57587953","56669942","53752520","60224618","59451809","62609929","61587782","59356255","57540596","61090033","61514820","66149598","66703334","67480549","69692797","67482252","75761782","77942290","76003238","79389905","76099116","83018320","83689255","81457088","89189775","91591107","89029973","91726171.65","90857493.05","96073789.25","95164419.8","100161644.93","107978041.18","104260629.79","110510636.46","119650525.81","119885108.9","126168201.12","127944079.96","137026365.09","133166439.04","151813314.71","159173735.01","166115940.4","176262577.77","185083235.35","196885500.95","192863879.03","199435080.69","204498901.64","214287855.88","208415309.1","214613298.16","222933090.16","230596717.52","227232126.13","235173475.69","234299361.56","",
"Low income","LIC","Cereal production (metric tons)","AG.PRD.CREL.MT","","24729602","26633196","26743867","27188779","26407223","25843922","29033209","26792864","30147216","28602397","29138485","30336025","28630758","31694729","32105740","34952002","32915410","33992403","32964570","36268817","37450990","33215689","35276580","30820505","35726157","37539927","34629150","43874948","36734470","37261783","43772637.8","43357829.8","45896767.62","45183407.6","42997946.94","46371086.31","43817301.98","49309347.81","45979491.03","41231943.11","50034661.54","50034956.71","57142700.25","50561601.39","61948534.73","64982424.37","65190530.12","64323226.6","73343089","78112473.35","77167369.21","84342245.95","86029333.2","90065043.14","86070860.9","91015658.71","90574040.17","94241146.44","99253559.66","100390548.57","93536671.29","",
"Liechtenstein","LIE","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Cereal production (metric tons)","AG.PRD.CREL.MT","","951868","1061828","1076631","1100142","795199","1011504","1190706","1385641","1412377","1644193","1421355","1342614","1353723","1650815","1211357","1306398","1719023","1932237","1955033","2170390","2265866","2192543","2528616","2467570","2702001","2638561","2177294","2523913","2101237","2578860","2429895","2373882","2609310","2722454","2850089","2098777","2268861","2730821","2893630","2896040","2728140","2890180","3106450","2668240","3294530","3396030","3193100","4017620","3788070","4469740","4038207","4054851","4837225","3625675","5051180.51","4672771","2579086","4200098","4837907","5434886.5","5622708.9","",
"Lower middle income","LMC","Cereal production (metric tons)","AG.PRD.CREL.MT","","167573842","174058649","181042237","184941125","172269255","164890929","190529667","204744712","211081541","221288824","218053080","210972871","227142858","219579866","245227096","242451777","255066921","263359443","247795958","273067202","283547331","278207087","307793552","308384495","324792487","332699815","316661509","353942845","381122011","378701605","384848718.95","431148346.92","454779608.67","452207228.01","454716276.1","473429696.98","477186054.03","486208652.39","503138977.99","505181571.81","529999425.58","506861214.41","543455762.18","560185151.4","577110107.57","592521443.65","606005338.9","642543365.08","631878847.49","645007964.77","683067657.11","681358151","711844196.81","723842763.41","713962014.07","726471851.29","750502984.85","769558485.1","782827001.06","788718840.89","840362373.92","",
"Low & middle income","LMY","Cereal production (metric tons)","AG.PRD.CREL.MT","","394555712","420392662","450634625","473495357","467400434","484499289","523907553","529307084","544535208","586479451","605191785","588399499","621089951","639098357","682562991","697783984","698658948","746381143","746306482","773211592","817009955","832787793","886755109","916365505","917047641","940223064","930305330","976541661","1008244319","1036873629","1051442429.36","1258261563.61","1277553688.89","1241506678.88","1244683195.57","1309745064.25","1341072811.44","1320811112.49","1339640851.19","1313168416.35","1374107277.84","1351986109.57","1367879661.26","1434332033.69","1482195631.63","1523282149.07","1566768774.94","1682728595.88","1652443232.83","1667414811.79","1785321512.48","1790019039.86","1885555706","1917019328.54","1967883887.2","1985240328.96","2082316084.14","2059831966.56","2104020359.38","2152318757.48","2177861540.75","",
"Lesotho","LSO","Cereal production (metric tons)","AG.PRD.CREL.MT","","226648","223800","223400","222000","216800","223400","217300","212506","211684","182536","197254","104350","150350","264905","154422","119658","251026","288249","228837","194497","171796","125048","123097","131679","167107","132455","146191","233910","199365","242119","67253.8","93800.14","153256.22","222852.81","81221","257418","206026","171933","173865","149723.48","254959.76","149947.22","116475.05","109279.54","111647.04","118736","72685","74020","75442","173193","103973.07","101482.44","107674.04","115905.67","83009.96","25861.56","216184.46","158027.66","35280.56","28707.23","121810.48","",
"Late-demographic dividend","LTE","Cereal production (metric tons)","AG.PRD.CREL.MT","","182648377","196062466","217451011","231401436","247476050","261812411","267382058","268579125","268807028","294565759","315148175","309617260","327131493","345341618","353541683","372795347","358100129","388975368","408534092","406403806","409991960","448189801","474718461","506671798","487175032","501731126","508935989","510981482","530818991","552086748","560772235.64","695975133.12","692934139.88","668671000.21","669125251.05","709393409.17","729813771.89","692364690.89","709979223.5","658489092.7","706293402.17","699475272.51","675536645.69","740099764.35","738736560.88","769326856.03","783012958.59","861166359.9","856475285.75","829273883.52","915387368.92","900724758.1","967203163.28","984876713.28","1042524717.95","1036199697.29","1089402102.99","1052506414.34","1076560327.94","1090372828.81","1098716822.77","",
"Lithuania","LTU","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2206141.65","2681041.65","2106741.65","1915041.65","2623641.65","2953841.65","2725441.23","2057892.12","2667601.65","2356159.83","2539100","2625800","2859400","2811100","1857800","3017000","3421900","3806600","2796700","3225900","4656600","4474800","5123200","6066749","5120821","5074188","3999510","5207890","6544720","5340820","",
"Luxembourg","LUX","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","152830","144299","169038","164133.42","178984","160569","161461","148351","190722","188562","166184","149591","153433","173287","168563","176516","139262","149291","157630","163590","146230","147160","",
"Latvia","LVA","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1143400","1230700","896100","689040","960800","1035200","958900","783400","923624","928000","1028500","932400","1059500","1314300","1158700","1535200","1689400","1663100","1435500","1412000","2124500","1948700","2227200","3021500","2703200","2692500","2057300","3163200","3497100","2994600","",
"Macao SAR, China","MAC","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Cereal production (metric tons)","AG.PRD.CREL.MT","","1537830","3511979","3856071","3403305","3486365","2179840","3523200","6352730","4089600","4251560","5352461","5167140","3228970","4809380","3728620","5713380","2888140","4744560","4103160","4514720","2130300","4916509","3581070","3759130","5312160","7824550","4336810","7958960","7428590","6275864","8664685","2950232.19","2817864.04","9638630","1783230","10103303.7","4097670.63","6629516.41","3843292.32","1996648.9","4603349.74","5287814.6","7969118.32","8598634.63","4279354.31","9236077.13","2505021.89","5330290.42","10443719.48","7834479.24","8689334","5311218.76","9874542.88","6936819.24","11687921.96","3560828.31","9787464.69","10389635.57","5316308.97","3325700.24","10447740.21","",
"Monaco","MCO","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1978255","3218589","1627891","2610779","1976169","3486746","2428062","2141579","1905097","2550044","2539059","2000680.18","2942574","2771711","2222357","1825348.29","3132303","2149173","2386009","2466400","2055650.03","2654337","2886891","2183323","2954175","3285836","3421119","3498682","1478349","4647542.62","",
"Madagascar","MDG","Cereal production (metric tons)","AG.PRD.CREL.MT","","1584920","1657700","1670300","1784510","1714600","1746795","1855015","1940490","1989965","2056645","2008805","2032600","2021780","2133205","2094080","2178985","2189893","2038310","2162612","2237803","2133725","2084520","2280960","2273900","2319560","2385058","2337849","2307600","2544675","2581217","2497183.9","2590967.09","2723977.31","2517000","2641973.75","2684976.82","2741980.17","2609983.93","2755988.21","2660170","2853015","2786948.94","3127724.54","3389544.49","3794599.2","3904369.54","4024722","4355509","4975572.69","5159720.58","4739751.99","5009947","3997774","4350378.47","4057987.42","4138500.16","3888315.15","4251337.01","4136202.43","4455177.01","4626792.58","",
"Maldives","MDV","Cereal production (metric tons)","AG.PRD.CREL.MT","","159","210","262","313","364","426","279","174","83","240","70","25","767","822","2070","146","83","28","40","17","102","57","25","5","5","5","5","6","11","7","4","8","10","11","11","9","96.44","92.01","95.89","99.46","110.32","109.84","176.82","132","120","135","138","145","146.53","163.77","171.94","185.49","195.47","195.07","196.88","202.06","198.23","201.21","200.83","200.31","200.84","",
"Middle East & North Africa","MEA","Cereal production (metric tons)","AG.PRD.CREL.MT","","17227295","23977648","23217742","22230266","24267873","21355812","24292823","29293787","26136174","25573799","25686222","31304697","24601472","28400997","30050942","33559002","25354550","29912896","28401453","32453183","30188097","32785916","30734490","29800448","38336142","40948808","38527909","44267945","40524487","48620425","55118908.33","52817792.9","53160529.81","57457509.95","50737423.69","62828348.53","50088958.2","59781442.67","49873177.66","44991140.99","53185432.93","62205174.57","70180973.61","70709800.65","68111717.58","74647924.88","67379417.25","52827204.5","69421195.38","63833731.49","64553133.09","64727778.08","70184207.15","66715588.05","69098091.33","63627888.39","65233288.63","61128344.29","73182357.22","64167617.45","62376563.98","",
"Mexico","MEX","Cereal production (metric tons)","AG.PRD.CREL.MT","","8516733","8605792","9539077","11710533","12488283","12987982","13068481","13925652","13843149","15006401","14805568","14394049","14863720","14618927","16625618","16478100","17967775","18897475","15653065","20893795","24626699","20256026","22683293","23638106","27403856","22708051","23696541","21113156","21425181","25562272","23672210","26889368","25201020.18","26810967","26883809.47","29312360","28065537","29124931.96","27435666","27995057","31060786.34","28773237","31336229","32315035","29062836","32158037","34313189","36109143.63","31285670","34925200","28408737","33614212","33210301","36526602.49","34704514.12","38464938.31","37487835.84","36068401.88","36164102.48","36374789.68","36582135.17","",
"Marshall Islands","MHL","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle income","MIC","Cereal production (metric tons)","AG.PRD.CREL.MT","","369826110","393759466","423890758","446306578","440993211","458655367","494874344","502514220","514387992","557877054","576053300","558063474","592459193","607403628","650457251","662831982","665743538","712388740","713341912","736942775","779558965","799572104","851478529","885545000","881321484","902683137","895676180","932666713","971509849","999611846","1007669791.56","1214903733.81","1231656921.27","1196323271.28","1201685248.63","1263373977.94","1297255509.46","1271501764.68","1293661360.16","1271936473.24","1324072616.3","1301951152.86","1310736961.01","1383770432.3","1420247096.9","1458299724.7","1501578244.82","1618405369.28","1579100143.83","1589302338.44","1708154143.27","1705676793.91","1799526372.8","1826954285.4","1881813026.3","1894224670.25","1991742043.97","1965590820.12","2004766799.72","2051928208.91","2084324869.46","",
"North Macedonia","MKD","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","623663","478926","647716","724919","545632","609613","659838","637839","564005","474500","555591","471689","681933","644627","602171","468652","613044","609056.62","541567","554880.86","459788.04","561902.73","629234.68","483878.81","640978.4","447776.98","598373.4","563116.93","578835.44","562240.59","",
"Mali","MLI","Cereal production (metric tons)","AG.PRD.CREL.MT","","1106550","1168200","1058200","947700","991700","1053013","1153900","1013900","1179058","991241","983742","817000","890000","1154000","1306628","1183620","1075000","1212502","1081330","967911","1197000","1281686","1481621","1113368","1724909","1727744","1639653","2196345","2156710","1771419","2414210","1809361.52","2227998","2457451","2188973.04","2219312","2137259","2548018.77","2893716.36","2310195.56","2584032.84","2518353.98","3409360.22","2845019.68","3398743.19","3693356.99","3885587","4814995.53","6057353.9","5338937.19","5777865.09","6555027","6993980","6980884.5","8055051.84","8849709.99","9296131.69","10159696.49","10451431.58","10352055.1","8819409.61","",
"Malta","MLT","Cereal production (metric tons)","AG.PRD.CREL.MT","","4964","5080","5503","5021","5025","4681","4786","3666","3653","3518","3963","4156","3734","3549","4354","5441","6135","5543","6473","7690","8933","11757","11554","9130","9130","8930","8735","8738","8515","8901","6900","7200","7300","7300","7400","7000","10543","10700","10789.97","11714","11800","12000","11800","12251.94","12433.29","12500","14200","16500","15900","15168.95","14596.93","14271.79","13974.29","13707.26","12180.12","12758.28","14587.02","0","0","0","0","",
